"","Region","Dataset","TSid","Archive","Category","Proxy","Season","Interp","Direction","PublicationDOI","SourceURL","AgeRange","Resolution","AgeControlN","AgeControlMax","Lat","Lon"
"679","WCE","LeMaraisdelaPergeSouth.Diot.1995","lcRiPXC1QOIC1ugFpbT","Marsh","Pollen (calibrated)","pollen","Annual","P","positive","Diot, M.F. and Tastet, J.P., 1995. Paleo-environnements holocenes et limites chronoclimatiques enregistres dans un marais estuarien de la Gironde (France)[Holocene paleo-environments and chrono-climatic limits recorded in a reclaimed marsh of the Gironde estuary (France).]. Quaternaire, 6(2), pp.63-75 (in French).","https://doi.pangaea.de/10.1594/PANGAEA.930512","7 - 0.1",320,"6","1890",45.38,-1.11
"680","WCE","Logne.Barbier.1997","lcRsKj7HRaEa8Csoe9n","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Barbier, D. and Visset, L., 1997. Logne, a peat bog of European ecological interest in the Massif Armorican, western France: bog development, vegetation and land-use history. Vegetation History and Archaeobotany, 6(2), pp.69-77.","https://doi.pangaea.de/10.1594/PANGAEA.930512","4.8 - 0",50,"5","1630",47.33,-1.5
"681","WCE","MaraisdeLisle.Ouguerram.2002","lcRws8UtuiI7583vk4v","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Ouguerram, A., 2002. Histoire de la vallee de l'Erdre (affluent de la Loire, Massif armoricain, France) de la fin du tardiglaciaire aux epoques actuelles. Doctoral dissertation. Universite Moulay Ismail (Maroc) et Universite de Nantes (France), Nantes, France.","https://doi.pangaea.de/10.1594/PANGAEA.930512","6.4 - 0.2",40,"7","2050",47.43,-1.49
"682","WCE","MontCarreHeremence.Welten.1982","lcRI110DdZhuZLCfO81","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Welten, M., 1982. Vegetationsgeschichtliche Untersuchungen in den westlichen Schweizer Alpen: Bern-Wallis. Denkschriften der Schweizerischen Naturforschenden Gesellschaft, Vol. 95. DSNG 95. Textheft 104 pp., Diagrammheft 37 diagrams.","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 4.6",180,"6","3390",46.15,7.37
"683","WCE","MottaNaluns.vanderKnaap.1997","lcRgDGHB8seTJysUnfr","Peat","Pollen (calibrated)","pollen","Annual","P","positive","van der Knaap, W.O. and Ammann, B., 1997. Depth-age relationships of 25 well-dated Swiss Holocene pollen sequences archived in the Alpine Palynological Data-Base. Revue Paleobiol., Geneve (1997) 16 (2):, pp.433-480.","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.3 - 0.3",180,"13","2450",46.81,10.26
"684","WCE","Mrtvyluh.Svobodova.2001","lcRQwutEsOeqKYYHxvG","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Svobodova, H., Reille, M. and Goeury, C., 2001. Past vegetation dynamics of Vltavsky luh, upper Vltava river valley in the Sumava mountains. Czech Republic. Vegetation History and Archaeobotany, 10(4), pp.185-199.","https://doi.pangaea.de/10.1594/PANGAEA.930512","6.4 - 0",50,"4","2170",48.87,13.88
"685","WCE","MyshetskoeDolgoe.Kremenetski.2000","lcR85IhuFYet9fVBJm1","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Kremenetski, K.V., Borisova, O.K. and Zelikson, E.M., 2000. The Late Glacial and Holocene history of vegetation in the Moscow region. Palaeontological Journal, 34(Suppl. 1), pp.S67-S74.","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",140,"8","3550",56.07,37.33
"686","WCE","PereNoelcave.Verheyden.2014","S2LR5E5HYoppj9","Speleothem","Speleothem (δ18O)","d18O","Annual","P-E","negative","https://popups.uliege.be/1374-8505/index.php?id=4421&file=1&pid=4412","http://dx.doi.org/10.17864/1947.256","12 - 1.7",66,"10","2608",50,5.2
"687","WCE","PereNoelcave.Verheyden.2014","S2LR6dZP0RBWKz","Speleothem","Speleothem (δ13C)","d13C","Annual","P-E","negative","https://popups.uliege.be/1374-8505/index.php?id=4421&file=1&pid=4412","http://dx.doi.org/10.17864/1947.256","12 - 1.7",66,"10","2608",50,5.2
"688","WCE","PillonGsteigDiablerets.vanderKnaap.1997","lcRAwlfFkCrGR9UHhR0","Lake","Pollen (calibrated)","pollen","Annual","P","positive","van der Knaap, W.O. and Ammann, B., 1997. Depth-age relationships of 25 well-dated Swiss Holocene pollen sequences archived in the Alpine Palynological Data-Base. Revue de Paleobiologie, 16(2), pp.433-480.","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.7 - 0",215,"10","2420",46.36,7.2
"689","WCE","Regetovka.Wacnik.1995","lcRXldXWx5IunOLzL9u","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Wacnik, A., 1995. The vegetational history of local flora and evidences of human activities recorded in the pollen diagram from side Regetovka, northeast Slovakia. Acta Palaeobotanica, 35(2), pp.253-274.","https://doi.pangaea.de/10.1594/PANGAEA.930512","9.9 - 0",110,"4","2900",49.42,21.28
